u_norm,T_norm
0.0,2.10055345
0.0278326448,2.09982787
0.0556692491,2.09742432
0.0834866241,2.0933679
0.11122595,2.08768905
0.13879361,2.08043725
0.166064473,2.07169238
0.19289438,2.06156927
0.219134675,2.05021493
0.244641204,2.03780295
0.269288756,2.02452158
0.292969087,2.01056798
0.315607253,1.99613145
0.337149484,1.98139316
0.357570084,1.96651554
0.37686547,1.95164077
0.395049697,1.93689003
0.412153601,1.92236124
0.428216958,1.90813361
0.443288292,1.89426692
0.457421545,1.88080407
0.470670928,1.86777621
0.483093608,1.85520068
0.494746046,1.84308531
0.505682391,1.83143096
0.515954115,1.82023287
0.525611212,1.8094803
0.534700708,1.79915888
0.543266421,1.7892518
0.551348325,1.77974144
0.558984958,1.77060727
0.566210067,1.76183053
0.573056644,1.7533899
0.579553304,1.7452665
0.585727051,1.73744085
0.591602247,1.72989469
0.597201327,1.72261038
0.602544555,1.7155717
0.607650706,1.70876309
0.61253683,1.70217031
0.617219278,1.69577919
0.621712436,1.68957751
0.626030216,1.68355306
0.630185591,1.6776943
0.634190318,1.6719909
0.638055866,1.66643229
0.641792192,1.6610093
0.645408894,1.65571259
0.648914228,1.65053427
0.652316155,1.64546633
0.655621619,1.64050188
0.658837366,1.63563372
0.661969358,1.63085552
0.665023391,1.62616097
0.668005097,1.62154387
0.670919647,1.61699896
0.673772339,1.61252098
0.676567752,1.60810611
0.679310624,1.60375017
0.682005342,1.59944906
0.684656533,1.59519784
0.687268386,1.59099166
0.689844738,1.58682583
0.69238906,1.58269589
0.694904255,1.57859783
0.697392682,1.57452828
0.699856179,1.57048474
0.702296461,1.56646559
0.704714959,1.56247058
0.707113394,1.55849953
0.709493798,1.55455143
0.711858048,1.55062453
0.714208148,1.54671616
0.716546438,1.54282369
0.718875852,1.5389443
0.721199376,1.53507524
0.7235192,1.53121439
0.725836675,1.52736015
0.728152646,1.52351115
0.730467791,1.51966594
0.732782571,1.51582317
0.735097513,1.51198152
0.737413904,1.50813853
0.739733256,1.50429101
0.742057063,1.50043604
0.744387364,1.49657015
0.746726717,1.49268955
0.749077179,1.48879286
0.751439661,1.4848815
0.753813441,1.48095913
0.756197499,1.47702815
0.758590819,1.47308766
0.760992738,1.46913324
0.763403503,1.46516098
0.765824737,1.461167
0.768257805,1.45714685
0.770702601,1.45309869
0.773158213,1.44902498
0.775624211,1.44492703
0.778101104,1.44080321
0.780591061,1.43665405
0.783096513,1.43248416
0.785617883,1.42829619
0.788152833,1.4240868
0.790698775,1.4198473
0.793255625,1.41556814
0.795824922,1.41124492
0.798408385,1.4068832
0.801006808,1.40249085
0.803618653,1.39806995
0.80624146,1.39361996
0.808873632,1.38914469
0.811517164,1.38464527
0.814174996,1.38011527
0.816848065,1.37554987
0.81953984,1.3709484
0.822254713,1.36631682
0.824990113,1.36166576
0.827740322,1.35699512
0.830505808,1.35228931
0.833289254,1.34753104
0.836088881,1.3427175
0.838902848,1.33785266
0.841732397,1.33293245
0.844580498,1.3279519
0.847453875,1.32291448
0.850355913,1.31782038
0.853283207,1.31265768
0.856235318,1.30741574
0.859212179,1.30210777
0.862208362,1.29673912
0.865225414,1.29130153
0.868271109,1.28579909
0.871341271,1.28024251
0.874424229,1.27464383
0.877520146,1.26899908
0.880638613,1.26331347
0.883785125,1.25760289
0.886962711,1.25186551
0.890172534,1.24608915
0.89340098,1.24025938
0.896639778,1.2343754
0.899898182,1.22843485
0.903172205,1.2224257
0.906455637,1.21634789
0.909756199,1.21021591
0.913067551,1.20406792
0.916375591,1.19794155
0.919679114,1.19180811
0.922977436,1.18559789
0.926275164,1.17931943
0.929585792,1.17301248
0.932907757,1.16668766
0.936225871,1.16036214
0.939524578,1.15401862
0.942793284,1.14762413
0.946028276,1.14118128
0.94922871,1.13471335
0.952388635,1.12825489
0.955504838,1.12182059
0.958572432,1.11539363
0.961581877,1.10896125
0.964537459,1.10254125
0.967450103,1.09614942
0.970309776,1.08981156
0.973083764,1.08357584
0.975727666,1.07744158
0.978224275,1.07144674
0.980579407,1.06564429
0.98278477,1.06002531
0.984826915,1.05459798
0.98670871,1.04940914
0.988424932,1.04449169
0.989969879,1.03987501
0.991359968,1.03560852
0.992605345,1.0316779
0.993713018,1.02804433
0.994692163,1.02470855
0.995551285,1.02166848
0.996301421,1.01891032
0.996947067,1.01643357
0.99749195,1.01422932
0.997948404,1.01227641
0.998324982,1.01055417
0.998629321,1.00905583
0.998870942,1.00778305
0.999058941,1.00671451
0.9992024,1.00581337
0.999308372,1.00506159
0.999383463,1.0044523
0.999434131,1.00397095
0.999466433,1.00360431
0.999485295,1.00333781
