u_norm,T_norm
0.0,5.75050758
0.0254606052,5.87565608
0.0502792505,5.98362406
0.0746820133,6.07651409
0.0987100404,6.15563557
0.122400301,6.22202205
0.145762443,6.27645283
0.168785837,6.31955757
0.191443058,6.35189402
0.213697351,6.37400991
0.235506193,6.38647868
0.256825329,6.38991743
0.277611316,6.3849908
0.297823711,6.37240531
0.317426739,6.35289853
0.336390274,6.327225
0.354690788,6.29614044
0.372311558,6.26038665
0.389242773,6.22067752
0.405481183,6.17768793
0.421029534,6.13204573
0.435895994,6.08432632
0.450093264,6.03505024
0.463637889,5.98468218
0.476549433,5.9336319
0.488849898,5.88225538
0.500562786,5.83085879
0.511712855,5.77970055
0.522325236,5.72899738
0.53242532,5.67892749
0.542038391,5.62963527
0.551189331,5.58123559
0.559902705,5.53381589
0.568202516,5.48743966
0.576112124,5.44214935
0.58365408,5.39796951
0.590850144,5.35490904
0.597720996,5.31296504
0.604286327,5.27212462
0.61056472,5.23236786
0.616573728,5.19366887
0.622329853,5.1559975
0.627848594,5.11932054
0.63314457,5.08360195
0.638231531,5.04880345
0.643122404,5.01488489
0.647829347,4.98180468
0.652363748,4.94952049
0.656736283,4.91798964
0.66095691,4.88716993
0.665034892,4.85702044
0.668978987,4.82750117
0.672797357,4.79857454
0.676497696,4.77020533
0.680087306,4.74236054
0.683573234,4.71500827
0.686962155,4.68811801
0.690260505,4.66165895
0.693474408,4.63560049
0.696609667,4.60991267
0.699671947,4.58456457
0.702666684,4.5595249
0.705599174,4.53476127
0.708474507,4.51024055
0.711297349,4.48593085
0.714071932,4.46180231
0.716802029,4.43782789
0.719491027,4.41398357
0.72214213,4.39024843
0.724758511,4.36660319
0.727343424,4.3430281
0.72990027,4.31950161
0.73243259,4.29600077
0.734943921,4.2725028
0.737437736,4.24898428
0.739917422,4.22541873
0.742386095,4.20177591
0.744846379,4.17802616
0.747300434,4.15414539
0.749750228,4.13011553
0.752197571,4.10592323
0.754644026,4.08155985
0.757090985,4.05701943
0.759539762,4.03229403
0.76199159,4.00737426
0.764447716,3.9822467
0.766909629,3.95689479
0.769379669,3.93130069
0.771860706,3.90544444
0.774355412,3.87931022
0.776866524,3.85289233
0.779396608,3.82619648
0.781946264,3.79923682
0.784513636,3.77204349
0.787096664,3.74463569
0.789695624,3.71698809
0.792312408,3.68904854
0.794948393,3.66077033
0.797604792,3.63214058
0.800281668,3.60316927
0.802977063,3.57384911
0.805687448,3.54419379
0.80840806,3.51428086
0.811134538,3.48419301
0.813866061,3.45396725
0.816605575,3.42358236
0.819356868,3.39301135
0.82212482,3.36221179
0.824914121,3.33115316
0.827731364,3.29988373
0.830578425,3.26840641
0.833447977,3.23666662
0.836328093,3.20478952
